Number,Image1,URL,City,State,Country,Year,Image2,Latitude,Longitude
0,http://nava.org/wp-content/uploads/2018/07/nava0.gif,https://nava.org/nava-0/,Boston,Massachusetts,USA,1967,http://nava.org/wp-content/uploads/2018/07/nava0.gif,42.370567,-71.026964
1,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-1,Purchase,New York,USA,1967,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,41.04093,-73.71457
2,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-2,Chillum,Maryland,USA,1968,http://nava.org/wp-content/uploads/2018/06/nava-20-150-1.gif,38.999757,-76.970698
3,http://nava.org/wp-content/uploads/2018/06/nava-3-220.gif,https://nava.org/nava-3-icv-3,Boston,Massachusetts,USA,1969,http://nava.org/wp-content/uploads/2018/06/nava-3-150.gif,42.370567,-71.026964
4,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/all-annual-meetings/nava-4/,Pittsburgh,Pennsylvania,USA,1970,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,40.47441,-79.950968
5,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-5,Ottawa,Ontario,Canada,1971,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,45.421106,-75.690308
6,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-6,Chicago,Illinois,USA,1972,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,41.88531,-87.62213
7,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-7,Valley Forge,Pennsylvania,USA,1973,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,40.092269,-75.453735
8,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-8,Baltimore,Maryland,USA,1974,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,39.296536,-76.623489
9,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-9/,Cleveland,Ohio,USA,1975,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,41.489381,-81.667486
10,http://nava.org/wp-content/uploads/2018/07/nava.gif,https://nava.org/nava-10/,Toronto,Ontario,Canada,1976,http://nava.org/wp-content/uploads/2018/06/nava-150.gif,43.653963,-79.387207
